web_name,team,pos,price,owned_pct,total_points,form,minutes,starts,goals_scored,assists,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,defensive_contribution,transfers_in_event,transfers_out_event,net_transfers_event,cost_change_event,status,chance_of_playing_next_round
Reinildo,SUN,DEF,4.5,0.3,7,1.8,360,4,0,0,0.00,0.32,0.32,5.05,29,114,4709,-4595,0.0,s,0
Meunier,SUN,DEF,4.5,0.3,11,2.8,318,4,0,0,0.34,0.13,0.47,4.60,16,548,1032,-484,0.0,a,100
J.Timber,ARS,DEF,6.5,0.2,1,0.2,45,0,0,0,0.00,0.01,0.01,1.57,3,9394,1437,7957,0.0,a,100
Saliba,ARS,DEF,5.9,0.2,0,0.0,0,0,0,0,0.00,0.00,0.00,0.00,0,242,1240,-998,0.0,i,0
Madueke,ARS,MID,6.2,0.2,2,0.5,23,0,0,0,0.00,0.05,0.05,0.15,3,367,2157,-1790,-0.1,a,
G.Jesus,ARS,FWD,5.9,0.2,0,0.0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,1379,-1379,0.0,u,0
Abraham,AVL,FWD,5.5,0.2,3,0.8,69,0,0,0,0.00,0.00,0.00,2.26,2,1108,1316,-208,0.0,a,100
Madjo,AVL,FWD,5.4,0.2,0,0.0,0,0,0,0,0.00,0.00,0.00,0.00,0,158,2248,-2090,-0.1,i,0
Rowe,AVL,DEF,4.0,0.2,0,0.0,0,0,0,0,0.00,0.00,0.00,0.00,0,1035,877,158,0.0,a,
Wan-Bissaka,AVL,DEF,4.5,0.2,5,1.7,107,1,0,0,0.00,0.06,0.06,2.63,15,2359,993,1366,0.0,a,
Diakité,BOU,DEF,5.0,0.2,0,0.0,0,0,0,0,0.00,0.00,0.00,0.00,0,494,1310,-816,0.0,a,
Cook,BOU,MID,5.0,0.2,7,1.8,165,2,0,0,0.00,0.01,0.01,3.95,12,437,2025,-1588,0.0,a,
Kroupi.Jr,BOU,MID,7.4,0.2,0,0.0,0,0,0,0,0.00,0.00,0.00,0.00,0,78,977,-899,0.0,i,0
Sanchez,BOU,DEF,4.4,0.2,0,0.0,0,0,0,0,0.00,0.00,0.00,0.00,0,146,668,-522,-0.1,a,
Henry,BRE,DEF,4.4,0.2,1,0.2,2,0,0,0,0.00,0.00,0.00,0.00,0,194,874,-680,-0.1,a,
Wieffer,BHA,DEF,5.0,0.2,7,1.8,156,2,0,0,0.12,0.13,0.25,3.18,15,33,3976,-3943,0.0,i,0
Struijk,BHA,DEF,4.9,0.2,2,0.5,13,0,0,0,0.00,0.01,0.01,0.22,4,375,1346,-971,-0.1,a,100
David,BHA,FWD,6.0,0.2,1,0.2,23,0,0,0,0.42,0.00,0.42,0.14,0,1026,2629,-1603,0.0,a,
Fofana,CHE,DEF,5.0,0.2,4,1.0,242,3,0,0,0.00,0.08,0.08,4.20,32,1552,1557,-5,0.0,a,100
Lavia,CHE,MID,5.0,0.2,11,2.8,258,4,1,0,0.75,0.11,0.86,5.06,31,1443,2383,-940,0.0,a,
Marc Guiu,CHE,FWD,5.0,0.2,0,0.0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,2077,-2077,0.0,u,0
Chavarria,CHE,DEF,4.9,0.2,4,1.0,118,0,0,0,0.00,0.03,0.03,1.45,7,228,892,-664,0.0,a,
Shepherd,COV,MID,4.5,0.2,0,0.0,0,0,0,0,0.00,0.00,0.00,0.00,0,261,1315,-1054,0.0,a,
Yirenkyi,COV,MID,4.9,0.2,6,1.5,175,2,0,0,0.03,0.14,0.17,3.17,16,143,1277,-1134,0.0,a,
Canvot,CRY,DEF,4.9,0.2,2,0.5,270,3,0,0,0.05,0.01,0.06,6.47,24,128,2093,-1965,0.0,a,
Garner,EVE,MID,6.0,0.2,8,2.0,238,3,0,0,0.04,0.13,0.17,2.01,36,4218,1217,3001,0.0,a,100
Hackney,EVE,MID,5.5,0.2,9,2.2,136,1,0,1,0.05,0.13,0.18,3.75,12,340,1029,-689,0.0,a,100
Tete,FUL,DEF,4.4,0.2,0,0.0,27,0,0,0,0.00,0.00,0.00,0.65,3,198,807,-609,0.0,a,
Palacios,FUL,MID,5.4,0.2,11,2.8,207,3,1,0,0.98,0.03,1.01,4.97,13,242,1238,-996,-0.1,a,
Hughes,HUL,DEF,3.9,0.2,0,0.0,0,0,0,0,0.00,0.00,0.00,0.00,0,10035,2526,7509,-0.1,i,0
Destan,HUL,FWD,4.5,0.2,0,0.0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,1453,-1453,0.0,u,0
Clarke,IPS,MID,5.4,0.2,9,2.2,105,1,1,0,0.30,0.04,0.34,0.29,6,224,1427,-1203,0.0,a,
Fatawu,IPS,MID,5.5,0.2,9,2.2,286,4,0,1,0.03,0.83,0.86,6.11,24,288,1315,-1027,0.0,a,
Cairns,LEE,GKP,4.0,0.2,0,0.0,0,0,0,0,0.00,0.00,0.00,0.00,0,1716,711,1005,0.0,a,
Davies,LIV,GKP,4.0,0.2,0,0.0,0,0,0,0,0.00,0.00,0.00,0.00,0,452,412,40,0.0,a,
McConnell,LIV,MID,4.4,0.2,0,0.0,0,0,0,0,0.00,0.00,0.00,0.00,0,708,1144,-436,-0.1,a,
Danns,LIV,FWD,4.5,0.2,0,0.0,0,0,0,0,0.00,0.00,0.00,0.00,0,3701,1319,2382,0.0,a,100
Lewis,MCI,DEF,4.4,0.2,1,0.2,56,1,0,0,0.17,0.02,0.19,0.55,2,633,1478,-845,0.0,a,
Bouaddi,MCI,MID,5.5,0.2,2,0.7,22,0,0,0,0.00,0.12,0.12,0.37,6,1758,2199,-441,0.0,a,
Braithwaite,MCI,DEF,4.0,0.2,1,0.3,1,0,0,0,0.00,0.00,0.00,0.00,0,1409,1485,-76,0.0,a,
Amass,MUN,DEF,4.0,0.2,0,0.0,0,0,0,0,0.00,0.00,0.00,0.00,0,749,904,-155,0.0,a,
Bendito Mantato,MUN,MID,4.5,0.2,0,0.0,0,0,0,0,0.00,0.00,0.00,0.00,0,369,911,-542,0.0,a,
N.Gonzalez,NEW,MID,5.5,0.2,5,1.2,164,3,0,0,0.00,0.21,0.21,2.34,12,1062,2256,-1194,0.0,d,50
Schär,NEW,DEF,5.0,0.2,1,0.2,1,0,0,0,0.00,0.00,0.00,0.79,0,640,1213,-573,0.0,a,100
Shahar,NEW,DEF,4.0,0.2,0,0.0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,3527,-3527,0.0,u,0
Jair Cunha,NFO,DEF,4.5,0.2,10,2.5,270,3,0,0,0.03,0.01,0.04,3.28,28,133,2305,-2172,0.0,d,50
O.Richards,NFO,DEF,4.0,0.2,0,0.0,0,0,0,0,0.00,0.00,0.00,0.00,0,500,784,-284,0.0,a,
Abbott,NFO,DEF,4.0,0.2,0,0.0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,1181,-1181,0.0,u,0
Hudson-Odoi,NFO,MID,5.8,0.2,1,0.2,1,0,0,0,0.00,0.00,0.00,0.00,0,846,1360,-514,-0.1,a,100
Tosin,TOT,DEF,4.4,0.2,1,0.2,5,0,0,0,0.00,0.00,0.00,0.03,4,212,480,-268,0.0,a,
Spence,TOT,DEF,4.5,0.2,0,0.0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,1585,-1585,0.0,u,0
Souza,TOT,DEF,4.0,0.2,0,0.0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,1245,-1245,0.0,u,0
Tel,TOT,MID,5.8,0.2,8,2.0,257,3,0,0,0.21,0.23,0.44,5.55,13,345,2826,-2481,0.0,a,
Bentancur,TOT,MID,5.5,0.2,11,2.8,287,3,0,0,0.02,0.08,0.10,4.49,43,654,750,-96,0.0,a,
Gallagher,TOT,MID,5.4,0.2,3,0.8,128,2,0,0,0.02,0.12,0.14,2.58,14,152,1351,-1199,0.0,a,
Gray,TOT,MID,4.9,0.2,7,1.8,236,3,0,0,0.09,0.04,0.13,4.99,22,803,1104,-301,-0.1,a,
Danso,SUN,DEF,5.0,0.2,3,0.8,180,2,0,0,0.00,0.16,0.16,3.09,12,816,770,46,0.0,a,
Sadiki,SUN,MID,4.9,0.2,8,2.0,343,4,0,0,0.40,0.23,0.63,5.45,26,683,1781,-1098,0.0,a,
Ahoka,SUN,MID,4.5,0.2,0,0.0,0,0,0,0,0.00,0.00,0.00,0.00,0,1333,1938,-605,0.0,a,
Arrizabalaga,ARS,GKP,4.9,0.1,0,0.0,0,0,0,0,0.00,0.00,0.00,0.00,0,85,307,-222,0.0,a,
Martinelli,ARS,MID,6.3,0.1,0,0.0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,912,-912,0.0,u,0
Dowman,ARS,MID,5.3,0.1,0,0.0,0,0,0,0,0.00,0.00,0.00,0.00,0,195,606,-411,0.0,a,
M.Bizot,AVL,GKP,4.5,0.1,1,0.2,90,1,0,0,0.00,0.00,0.00,3.77,0,256,645,-389,0.0,a,
Digne,AVL,DEF,4.5,0.1,0,0.0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,265,-265,0.0,u,0
Bogarde,AVL,MID,5.0,0.1,1,0.2,16,0,0,0,0.00,0.00,0.00,0.22,1,293,530,-237,0.0,a,
Nedeljkovic,AVL,DEF,4.0,0.1,0,0.0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,656,-656,0.0,u,0
Bailey,AVL,MID,5.4,0.1,0,0.0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,961,-961,0.0,u,0
Alysson,AVL,MID,5.0,0.1,8,2.0,87,0,1,0,0.06,0.00,0.06,2.40,8,847,257,590,0.0,a,
Manzambi,AVL,MID,5.9,0.1,1,0.2,27,0,0,0,0.00,0.08,0.08,0.86,2,932,547,385,0.0,a,100
Ruggeri,AVL,DEF,4.5,0.1,2,0.5,23,0,0,0,0.00,0.01,0.01,0.49,3,275,640,-365,0.0,a,
Lynch,AVL,MID,4.5,0.1,0,0.0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,824,-824,0.0,u,0
Mbaye,AVL,MID,6.0,0.1,1,0.5,27,0,0,0,0.02,0.13,0.15,0.86,2,1080,726,354,0.0,a,
Dennis,BOU,GKP,4.0,0.1,0,0.0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,552,-552,0.0,u,0
Smith,BOU,DEF,4.5,0.1,2,0.5,360,4,0,0,0.01,0.07,0.08,5.30,21,446,954,-508,0.0,a,
Gannon-Doak,BOU,MID,4.9,0.1,3,0.8,10,0,0,0,0.12,0.03,0.15,0.35,7,159,416,-257,0.0,a,
Brooks,BOU,MID,5.0,0.1,2,0.5,30,0,0,0,0.00,0.01,0.01,0.50,3,239,482,-243,0.0,a,100
Rodríguez,BOU,FWD,6.0,0.1,2,0.5,10,0,0,0,0.00,0.00,0.00,0.18,1,399,694,-295,0.0,a,100
Jebbison,BOU,FWD,5.0,0.1,2,0.5,16,0,0,0,0.10,0.00,0.10,0.36,1,1011,1017,-6,0.0,a,
Valdimarsson,BRE,GKP,4.5,0.1,0,0.0,0,0,0,0,0.00,0.00,0.00,0.00,0,159,418,-259,0.0,a,
Van den Berg,BRE,DEF,4.9,0.1,0,0.0,0,0,0,0,0.00,0.00,0.00,0.00,0,17,401,-384,0.0,i,0
Hickey,BRE,DEF,4.5,0.1,4,1.0,131,1,0,0,0.03,0.05,0.08,2.79,13,168,309,-141,0.0,a,
Schuster,BRE,DEF,4.5,0.1,7,1.8,163,1,0,0,0.10,0.02,0.12,3.36,22,165,327,-162,0.0,a,
Jensen,BRE,MID,5.4,0.1,6,1.5,66,1,0,1,0.08,0.34,0.42,0.47,5,7,926,-919,0.0,i,0
Anthony,BRE,MID,5.9,0.1,5,1.2,187,2,0,0,0.19,0.52,0.71,2.80,24,254,1118,-864,-0.1,a,
Diouf,BRE,DEF,4.5,0.1,1,0.3,30,0,0,0,0.00,0.01,0.01,0.50,1,608,961,-353,0.0,a,
Svoboda,BHA,DEF,5.0,0.1,0,0.0,0,0,0,0,0.00,0.00,0.00,0.00,0,342,519,-177,0.0,a,
O'Riley,BHA,MID,5.5,0.1,1,0.2,6,0,0,0,0.00,0.01,0.01,0.04,1,309,653,-344,0.0,a,
Chalobah,CHE,DEF,5.5,0.1,0,0.0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,422,-422,0.0,u,0
D.Essugo,CHE,MID,4.5,0.1,0,0.0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,1101,-1101,0.0,u,0
Emegha,CHE,FWD,5.0,0.1,0,0.0,0,0,0,0,0.00,0.00,0.00,0.00,0,65,1708,-1643,0.0,i,0
Penders,CHE,GKP,4.4,0.1,0,0.0,0,0,0,0,0.00,0.00,0.00,0.00,0,393,343,50,0.0,a,
Barco,CHE,MID,5.4,0.1,1,0.2,29,0,0,0,0.04,0.09,0.13,0.61,3,265,734,-469,-0.1,a,
Pinnock,COV,DEF,4.5,0.1,6,1.5,192,2,0,0,0.12,0.00,0.12,5.47,25,227,334,-107,0.0,a,
Onyeka,COV,MID,4.9,0.1,6,1.5,224,3,0,0,0.03,0.02,0.05,5.21,19,194,692,-498,0.0,d,50
Bidwell,COV,DEF,4.0,0.1,0,0.0,0,0,0,0,0.00,0.00,0.00,0.00,0,234,358,-124,0.0,a,
Woolfenden,COV,DEF,4.0,0.1,0,0.0,0,0,0,0,0.00,0.00,0.00,0.00,0,126,620,-494,0.0,i,0
Rudoni,COV,MID,5.0,0.1,8,2.0,224,3,0,0,0.83,0.91,1.74,3.64,21,223,744,-521,0.0,a,100
Grimes,COV,MID,4.9,0.1,8,2.0,353,4,0,0,0.10,0.07,0.17,7.32,28,300,1017,-717,-0.1,a,
Sakamoto,COV,MID,4.9,0.1,1,0.2,31,0,0,0,0.02,0.02,0.04,0.69,4,46,487,-441,0.0,a,
Mason-Clark,COV,MID,5.4,0.1,4,1.0,186,3,0,0,0.49,0.07,0.56,2.56,13,56,436,-380,0.0,a,100
Torp,COV,MID,5.4,0.1,3,0.8,53,0,0,0,0.00,0.12,0.12,1.22,3,17,563,-546,0.0,a,
Tchaouna,COV,MID,5.4,0.1,4,1.0,166,2,0,0,0.19,0.18,0.37,2.73,15,18,501,-483,0.0,a,
Borges Rodrigues,COV,MID,4.5,0.1,0,0.0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,992,-992,0.0,u,0
Wright,COV,FWD,5.4,0.1,0,0.0,0,0,0,0,0.00,0.00,0.00,0.00,0,34,639,-605,0.0,i,0
Hamer,COV,MID,5.4,0.1,3,0.8,32,0,0,0,0.00,0.02,0.02,0.82,3,39,489,-450,0.0,a,
Cherif,COV,FWD,5.0,0.1,1,0.2,30,0,0,0,0.00,0.00,0.00,1.43,1,711,686,25,0.0,a,
Mfuni,COV,DEF,4.0,0.1,0,0.0,0,0,0,0,0.00,0.00,0.00,0.00,0,4292,832,3460,0.0,a,
Disasi,CRY,DEF,4.5,0.1,1,0.2,139,2,0,0,0.00,0.04,0.04,3.72,20,97,2480,-2383,0.0,s,0
Benitez,CRY,GKP,4.5,0.1,2,0.5,90,1,0,0,0.00,0.00,0.00,1.68,0,622,386,236,0.0,a,
Mingueza,CRY,DEF,4.4,0.1,2,0.5,16,0,0,0,0.00,0.00,0.00,0.33,2,138,506,-368,0.0,a,
Lerma,CRY,MID,4.9,0.1,1,0.2,6,0,0,0,0.00,0.00,0.00,0.48,1,95,394,-299,0.0,a,
Doucouré,CRY,MID,4.9,0.1,0,0.0,0,0,0,0,0.00,0.00,0.00,0.00,0,134,452,-318,0.0,a,
Drakes-Thomas,CRY,MID,4.5,0.1,0,0.0,0,0,0,0,0.00,0.00,0.00,0.00,0,185,503,-318,0.0,a,
McNeil,CRY,MID,5.4,0.1,3,0.8,84,1,0,0,0.05,0.02,0.07,1.18,7,90,758,-668,0.0,a,
Johnson,EVE,MID,5.9,0.1,6,1.5,173,2,0,0,0.21,0.22,0.43,2.67,18,870,687,183,0.0,a,
Aznou,EVE,DEF,4.0,0.1,0,0.0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,894,-894,0.0,u,0
Alcaraz,EVE,MID,4.9,0.1,1,0.2,5,0,0,0,0.05,0.02,0.07,0.04,3,225,518,-293,0.0,a,
Graham,EVE,MID,4.5,0.1,0,0.0,0,0,0,0,0.00,0.00,0.00,0.00,0,1140,1238,-98,0.0,a,
McNally,FUL,GKP,4.0,0.1,0,0.0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,483,-483,0.0,u,0
Andersen,FUL,DEF,5.0,0.1,2,0.5,180,2,0,0,0.00,0.10,0.10,3.99,15,890,1005,-115,0.0,a,100
Charles,FUL,MID,5.0,0.1,9,2.2,213,2,0,0,0.09,0.14,0.23,5.05,33,352,298,54,0.0,a,
De Fougerolles,FUL,DEF,4.0,0.1,0,0.0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,681,-681,0.0,u,0
Butland,HUL,GKP,4.5,0.1,0,0.0,0,0,0,0,0.00,0.00,0.00,0.00,0,45,337,-292,0.0,i,0
McCarthy,HUL,DEF,4.0,0.1,0,0.0,0,0,0,0,0.00,0.00,0.00,0.00,0,710,474,236,0.0,a,
McNair,HUL,DEF,4.0,0.1,1,0.2,26,0,0,0,0.00,0.00,0.00,0.96,2,345,446,-101,0.0,a,100
Zambrano,HUL,MID,4.5,0.1,0,0.0,0,0,0,0,0.00,0.00,0.00,0.00,0,794,583,211,0.0,a,100
Hjertø-Dahl,HUL,MID,4.9,0.1,1,0.2,8,0,0,0,0.00,0.00,0.00,0.00,1,153,402,-249,0.0,a,
Stroud,HUL,MID,5.0,0.1,7,1.8,249,4,0,0,0.06,0.05,0.11,4.32,20,306,429,-123,0.0,a,
Vaz,HUL,FWD,5.0,0.1,1,0.5,8,0,0,0,0.00,0.00,0.00,0.18,1,2846,738,2108,0.0,a,
Lukić,IPS,MID,5.0,0.1,9,2.2,328,4,0,1,0.02,0.16,0.18,5.61,31,138,614,-476,0.0,a,
Johnson,IPS,DEF,4.0,0.1,0,0.0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,606,-606,0.0,u,0
Núñez,IPS,MID,4.9,0.1,6,1.5,140,2,0,0,0.03,0.05,0.08,3.48,21,139,943,-804,-0.1,a,
Hirst,IPS,FWD,5.0,0.1,0,0.0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,607,-607,0.0,u,0
Philogene,IPS,MID,5.4,0.1,1,0.2,28,0,0,0,0.02,0.00,0.01,0.41,3,46,182,-136,0.0,a,100
Al-Hamadi,IPS,FWD,5.0,0.1,0,0.0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,471,-471,0.0,u,0
Florentino,IPS,MID,4.9,0.1,1,0.2,13,0,0,0,0.00,0.01,0.01,0.27,2,87,343,-256,0.0,a,100
Flemming,IPS,FWD,5.5,0.1,6,3.0,51,0,1,0,0.54,0.01,0.55,0.47,2,2180,505,1675,0.0,a,
Gudmundsson,LEE,DEF,4.5,0.1,8,2.0,162,2,0,0,0.00,0.18,0.18,2.77,9,603,223,380,0.0,a,100
Longstaff,LEE,MID,4.9,0.1,2,0.5,10,0,0,0,0.00,0.00,0.00,0.35,0,227,673,-446,0.0,a,
James,LEE,MID,4.9,0.1,2,0.5,29,0,0,0,0.35,0.01,0.36,1.21,4,355,686,-331,-0.1,a,
Piroe,LEE,FWD,5.0,0.1,0,0.0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,516,-516,0.0,u,0
Mateo Joseph,LEE,FWD,4.5,0.1,0,0.0,0,0,0,0,0.00,0.00,0.00,0.00,0,319,332,-13,0.0,i,0
Lienou,LEE,DEF,4.0,0.1,0,0.0,0,0,0,0,0.00,0.00,0.00,0.00,0,654,480,174,0.0,a,
Cresswell,LEE,MID,4.5,0.1,0,0.0,0,0,0,0,0.00,0.00,0.00,0.00,0,757,967,-210,0.0,a,
Mamardashvili,LIV,GKP,4.9,0.1,0,0.0,0,0,0,0,0.00,0.00,0.00,0.00,0,184,793,-609,0.0,a,
Lucky,LIV,DEF,4.0,0.1,0,0.0,0,0,0,0,0.00,0.00,0.00,0.00,0,414,623,-209,0.0,a,
Tsimikas,LIV,DEF,4.9,0.1,2,0.5,64,1,0,0,0.04,0.02,0.06,0.47,3,200,329,-129,0.0,a,
Ramsay,LIV,DEF,4.0,0.1,0,0.0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,593,-593,0.0,u,0
Endo,LIV,MID,4.9,0.1,0,0.0,0,0,0,0,0.00,0.00,0.00,0.00,0,203,474,-271,0.0,a,100
Ekitiké,LIV,FWD,7.4,0.1,0,0.0,0,0,0,0,0.00,0.00,0.00,0.00,0,205,660,-455,0.0,i,0
Kovačić,MCI,MID,5.4,0.1,2,0.5,42,0,0,0,0.00,0.02,0.02,0.10,2,132,532,-400,0.0,a,
Mukasa,MCI,MID,4.5,0.1,0,0.0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,879,-879,0.0,u,0
McAidoo,MCI,MID,4.5,0.1,2,0.7,11,0,0,0,0.10,0.00,0.10,0.02,4,637,1075,-438,0.0,a,
Baleba,MUN,MID,4.9,0.1,0,0.0,0,0,0,0,0.00,0.00,0.00,0.00,0,354,1010,-656,-0.1,i,0
Heaton,MUN,GKP,4.0,0.1,0,0.0,0,0,0,0,0.00,0.00,0.00,0.00,0,167,225,-58,0.0,i,0
Lacey,MUN,MID,4.9,0.1,1,0.2,10,0,0,0,0.00,0.00,0.00,0.00,1,85,312,-227,0.0,a,
Livramento,NEW,DEF,4.9,0.1,4,1.0,33,0,0,1,0.00,0.01,0.01,0.18,3,1424,510,914,0.0,a,100
A.Murphy,NEW,DEF,4.0,0.1,0,0.0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,344,-344,0.0,u,0
J.Murphy,NEW,MID,5.9,0.1,2,0.5,91,1,0,0,0.00,0.34,0.34,3.37,10,593,837,-244,0.0,a,
L.Miley,NEW,MID,5.5,0.1,8,2.0,306,4,0,0,0.05,0.10,0.15,6.36,36,422,596,-174,0.0,a,100
Touré,NEW,MID,5.8,0.1,7,1.8,34,0,1,0,0.28,0.01,0.29,0.16,2,479,834,-355,0.0,a,
Steur,NEW,MID,4.9,0.1,5,1.2,158,1,0,0,0.00,0.03,0.03,3.71,14,151,508,-357,0.0,a,
Bamba,NEW,MID,4.9,0.1,2,0.5,24,0,0,0,0.00,0.00,0.00,1.15,4,168,533,-365,0.0,a,
Fernandez-Pardo,NEW,FWD,6.0,0.1,2,1.0,84,1,0,0,0.00,0.01,0.01,1.95,3,1553,1056,497,0.0,a,
John,NFO,GKP,4.5,0.1,0,0.0,0,0,0,0,0.00,0.00,0.00,0.00,0,82,173,-91,0.0,a,
Bindon,NFO,DEF,4.0,0.1,0,0.0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,701,-701,0.0,u,0
Hutchinson,NFO,MID,5.4,0.1,0,0.0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,602,-602,0.0,u,0
McAtee,NFO,MID,5.5,0.1,10,2.5,334,4,0,0,0.16,0.92,1.08,3.88,35,1480,711,769,0.0,a,
Dominguez,NFO,MID,4.9,0.1,1,0.2,1,0,0,0,0.00,0.00,0.00,0.00,0,127,366,-239,0.0,a,
Kalimuendo,NFO,FWD,5.4,0.1,1,0.2,1,0,0,0,0.00,0.00,0.00,0.00,0,285,436,-151,0.0,a,
Schlager,NFO,MID,5.0,0.1,11,2.8,286,3,0,0,0.14,0.08,0.22,3.76,42,1264,555,709,0.0,a,
Benda,NFO,GKP,4.5,0.1,0,0.0,0,0,0,0,0.00,0.00,0.00,0.00,0,221,284,-63,0.0,a,
Vicario,TOT,GKP,4.5,0.1,0,0.0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,1029,-1029,0.0,u,0
Romero,TOT,DEF,5.0,0.1,0,0.0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,368,-368,0.0,u,0
Byfield,TOT,DEF,4.0,0.1,0,0.0,0,0,0,0,0.00,0.00,0.00,0.00,0,295,284,11,0.0,a,
Rowswell,TOT,DEF,4.0,0.1,0,0.0,0,0,0,0,0.00,0.00,0.00,0.00,0,331,339,-8,0.0,a,
Kudus,TOT,MID,6.5,0.1,3,0.8,78,0,0,0,0.04,0.22,0.26,1.11,7,935,1424,-489,0.0,a,100
P.M.Sarr,TOT,MID,4.9,0.1,0,0.0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,1240,-1240,0.0,u,0
Bergvall,TOT,MID,5.4,0.1,2,0.5,72,1,0,0,0.06,0.26,0.32,2.14,12,112,633,-521,0.0,a,
Moore,TOT,MID,5.0,0.1,3,0.8,89,1,0,0,0.40,0.02,0.42,3.26,3,0,998,-998,0.0,u,0
Williams-Barnett,TOT,MID,4.5,0.1,0,0.0,0,0,0,0,0.00,0.00,0.00,0.00,0,391,917,-526,0.0,a,
Patterson,SUN,GKP,4.0,0.1,0,0.0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,467,-467,0.0,u,0
Ellborg,SUN,GKP,4.5,0.1,0,0.0,0,0,0,0,0.00,0.00,0.00,0.00,0,73,257,-184,0.0,a,
Masuaku,SUN,DEF,4.0,0.1,0,0.0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,749,-749,0.0,u,0
Talbi,SUN,MID,5.3,0.1,1,0.2,31,0,0,0,0.00,0.00,0.00,0.14,2,146,869,-723,-0.1,a,
N.Angulo,SUN,MID,5.0,0.1,12,3.0,254,4,1,0,0.15,0.12,0.27,3.81,20,422,1084,-662,0.0,a,
Meslier,ARS,GKP,4.9,0.0,0,0.0,0,0,0,0,0.00,0.00,0.00,0.00,0,40,115,-75,0.0,a,
Nwaneri,ARS,MID,5.4,0.0,0,0.0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,73,-73,0.0,u,0
Fábio Vieira,ARS,MID,5.5,0.0,0,0.0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,50,-50,0.0,u,0
Nelson,ARS,MID,5.5,0.0,0,0.0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,29,-29,0.0,u,0
Onana,AVL,MID,4.9,0.0,0,0.0,0,0,0,0,0.00,0.00,0.00,0.00,0,32,116,-84,-0.1,i,0
Iling Jr,AVL,MID,5.0,0.0,0,0.0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,12,-12,0.0,u,0
Gomes,AVL,MID,5.5,0.0,-2,-0.5,39,1,0,0,0.00,0.01,0.01,2.58,7,265,132,133,0.0,a,100
Goretzka,AVL,MID,6.0,0.0,0,0.0,0,0,0,0,0.00,0.00,0.00,0.00,0,29,932,-903,0.0,i,0
Harwood-Bellis,AVL,DEF,4.5,0.0,0,0.0,0,0,0,0,0.00,0.00,0.00,0.00,0,163,198,-35,0.0,a,
Milosavljević,BOU,DEF,4.9,0.0,0,0.0,0,0,0,0,0.00,0.00,0.00,0.00,0,30,47,-17,-0.1,i,0
J.Araujo,BOU,DEF,4.4,0.0,0,0.0,0,0,0,0,0.00,0.00,0.00,0.00,0,36,79,-43,0.0,i,0
Christie,BOU,MID,5.0,0.0,3,0.8,28,0,0,0,0.00,0.12,0.12,0.24,9,291,337,-46,0.0,a,100
Tóth.A,BOU,MID,5.0,0.0,1,0.2,15,0,0,0,0.00,0.00,0.00,0.31,2,27,65,-38,0.0,a,
Adli,BOU,MID,4.9,0.0,0,0.0,0,0,0,0,0.00,0.00,0.00,0.00,0,15,134,-119,0.0,i,0
Enes Ünal,BOU,FWD,5.5,0.0,0,0.0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,63,-63,0.0,u,0
Di Gregorio,BOU,GKP,4.5,0.0,0,0.0,0,0,0,0,0.00,0.00,0.00,0.00,0,185,302,-117,0.0,a,
Ji-soo,BRE,DEF,4.5,0.0,0,0.0,0,0,0,0,0.00,0.00,0.00,0.00,0,38,91,-53,0.0,a,
