web_name,team,pos,price,owned_pct,total_points,form,minutes,starts,goals_scored,assists,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,defensive_contribution,transfers_in_event,transfers_out_event,net_transfers_event,cost_change_event,status,chance_of_playing_next_round
Greaves,IPS,DEF,4.0,1.2,3,0.8,357,4,0,0,0.00,0.06,0.06,6.74,30,688,3026,-2338,0.0,a,
Akpom,IPS,FWD,5.0,1.2,6,1.5,69,0,1,0,0.97,0.00,0.97,4.04,3,11110,10662,448,0.0,a,
Gravenberch,LIV,MID,5.9,1.2,8,2.0,181,2,0,1,0.10,0.07,0.17,1.88,24,1927,12469,-10542,0.0,a,
Obi,MUN,FWD,4.5,1.2,0,0.0,0,0,0,0,0.00,0.00,0.00,0.00,0,5061,9262,-4201,0.0,u,0
Eze,ARS,MID,6.3,1.1,3,0.8,68,0,0,0,0.04,0.07,0.11,0.79,5,1504,10236,-8732,0.0,a,
Furo,BRE,FWD,4.5,1.1,0,0.0,0,0,0,0,0.00,0.00,0.00,0.00,0,5523,8498,-2975,0.0,i,0
Dovin,COV,GKP,4.0,1.1,0,0.0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,5372,-5372,0.0,u,0
Lecomte,FUL,GKP,4.0,1.1,0,0.0,0,0,0,0,0.00,0.00,0.00,0.00,0,1734,1918,-184,0.0,a,
McAteer,IPS,MID,4.5,1.1,3,0.8,42,0,0,0,0.05,0.00,0.05,0.21,5,1301,6704,-5403,0.0,a,
Munoz,LIV,MID,6.5,1.1,14,3.5,239,3,1,1,0.52,0.25,0.77,4.49,13,3114,16274,-13160,0.0,a,
Hincapie,ARS,DEF,5.3,1.0,2,0.5,32,0,0,0,0.00,0.00,0.00,0.28,3,1390,9696,-8306,0.0,a,
Buendía,AVL,MID,5.9,1.0,9,2.2,311,4,0,0,0.78,0.17,0.95,6.30,19,2234,10667,-8433,0.0,a,
Kluivert,BOU,MID,6.0,1.0,15,3.8,294,4,1,0,0.99,0.08,1.07,4.48,22,6785,4500,2285,0.0,a,
Gusto,CHE,DEF,5.0,1.0,4,1.0,272,3,0,0,0.08,0.12,0.20,3.50,15,2151,7778,-5627,0.0,a,
Hato,CHE,DEF,4.5,1.0,8,2.0,258,4,0,2,0.01,0.21,0.22,4.81,18,2744,11151,-8407,0.0,a,
Colwill,CHE,DEF,4.9,1.0,2,0.5,251,3,0,0,0.01,0.04,0.05,4.02,19,1024,10220,-9196,0.0,a,
Rodon,LEE,DEF,4.4,1.0,7,1.8,123,2,0,0,0.03,0.06,0.09,1.01,11,34,13645,-13611,0.0,i,0
Ampadu,LEE,MID,5.4,1.0,16,4.0,360,4,0,1,0.08,0.16,0.24,5.40,46,1687,5103,-3416,0.0,a,
Woodman,LIV,GKP,4.0,1.0,0,0.0,0,0,0,0,0.00,0.00,0.00,0.00,0,1348,2372,-1024,0.0,a,
Matheus N.,MCI,DEF,5.9,1.0,10,2.5,123,1,0,0,0.00,0.05,0.05,1.10,12,3041,2072,969,0.0,a,100
Pope,NEW,GKP,4.9,1.0,0,0.0,0,0,0,0,0.00,0.00,0.00,0.00,0,955,3769,-2814,0.0,a,
Wood,NFO,FWD,5.8,1.0,3,0.8,45,0,0,0,0.12,0.01,0.13,0.49,1,2169,7881,-5712,-0.1,a,
Austin,TOT,GKP,4.0,1.0,0,0.0,0,0,0,0,0.00,0.00,0.00,0.00,0,3096,2261,835,0.0,a,
