web_name,team,pos,price,owned_pct,total_points,form,minutes,starts,goals_scored,assists,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,defensive_contribution,transfers_in_event,transfers_out_event,net_transfers_event,cost_change_event,status,chance_of_playing_next_round
Pedro Porro,TOT,DEF,5.5,9.6,8,2.0,180,2,0,0,0.36,0.16,0.52,1.64,8,905,104826,-103921,0.0,d,75
Thomas,COV,DEF,4.0,9.0,15,3.8,347,4,0,0,0.43,0.26,0.69,6.99,39,13930,24705,-10775,0.0,a,
Pickford,EVE,GKP,5.5,8.8,17,4.2,360,4,0,0,0.00,0.02,0.02,5.50,0,24508,15413,9095,0.0,a,
N.Williams,NFO,DEF,5.0,8.4,17,4.2,360,4,0,1,0.32,0.40,0.72,4.10,27,29750,15397,14353,0.0,a,
Kayode,BRE,DEF,4.6,8.3,17,4.2,226,3,1,0,0.55,0.36,0.91,2.69,14,8641,58981,-50340,0.0,a,
Hughes,CRY,MID,4.5,8.1,2,0.5,29,0,0,0,0.00,0.04,0.04,1.12,7,4939,37156,-32217,0.0,a,
Ndiaye,MCI,MID,5.9,8.1,17,4.2,311,3,0,1,0.28,0.44,0.72,6.27,40,12100,75138,-63038,0.0,a,
Havertz,ARS,FWD,7.6,8.0,17,4.2,347,4,2,0,0.89,0.35,1.24,2.60,10,35634,38254,-2620,0.1,a,
Donnarumma,MCI,GKP,5.5,7.6,17,4.2,360,4,0,0,0.00,0.00,0.00,3.68,0,15617,16455,-838,0.0,a,
Lacroix,CHE,DEF,6.0,7.5,10,2.5,274,3,0,1,0.02,0.21,0.23,5.28,35,3563,54147,-50584,0.0,a,
Mendy,HUL,DEF,4.1,7.5,25,6.2,249,4,1,0,0.32,0.00,0.32,4.02,39,11063,59214,-48151,0.0,d,50
James,CHE,DEF,5.4,7.3,3,0.8,292,3,0,0,0.33,0.26,0.59,4.90,13,8340,48912,-40572,0.0,a,
Wirtz,LIV,MID,7.4,7.1,12,3.0,332,4,0,1,0.78,0.35,1.13,4.16,28,2118,66369,-64251,0.0,a,
White,ARS,DEF,5.5,6.9,21,5.2,315,4,0,1,0.18,0.29,0.47,1.15,18,13361,83756,-70395,0.0,a,100
Van Hecke,TOT,DEF,4.9,6.8,18,4.5,360,4,0,0,0.34,0.12,0.46,6.62,34,15624,13515,2109,0.0,a,
Egan,HUL,DEF,4.1,6.7,25,6.2,360,4,0,0,0.04,0.00,0.04,5.96,55,44336,14505,29831,0.0,a,
Mitchell,CRY,DEF,4.5,6.5,17,4.2,329,4,2,0,0.77,0.24,1.01,7.03,17,11578,23537,-11959,0.0,a,
Barry,EVE,FWD,5.6,6.5,14,3.5,327,4,1,0,2.98,0.14,3.12,3.58,12,51232,27367,23865,0.0,a,
Kelleher,BRE,GKP,5.0,6.4,14,3.5,360,4,0,0,0.00,0.01,0.01,5.49,0,4103,25082,-20979,0.0,a,
Brobbey,SUN,FWD,5.8,6.3,7,1.8,309,4,0,0,0.59,0.07,0.66,5.36,11,5127,55691,-50564,0.0,a,
Cunha,MUN,MID,7.9,6.2,16,4.0,317,4,0,2,0.58,0.44,1.02,3.82,10,4959,31193,-26234,0.0,a,
Scott,BOU,MID,6.1,5.9,28,7.0,356,4,1,2,0.52,0.35,0.87,5.17,52,32939,28523,4416,0.0,a,
Kusi-Asare,FUL,FWD,4.5,5.9,0,0.0,0,0,0,0,0.00,0.00,0.00,0.00,0,10075,21209,-11134,0.0,a,
Davis,IPS,DEF,4.0,5.9,23,5.8,360,4,2,2,1.17,0.44,1.61,6.74,19,87905,8544,79361,0.0,a,
Cash,AVL,DEF,4.5,5.6,7,1.8,251,3,0,0,0.15,0.04,0.19,5.03,14,462,55432,-54970,0.0,d,75
Slater,HUL,MID,4.5,5.6,13,3.2,360,4,0,1,0.08,0.56,0.64,5.96,30,27068,21927,5141,0.0,a,
Muñoz,NFO,DEF,5.4,5.5,3,0.8,175,2,0,0,0.48,0.19,0.67,1.92,12,11872,19021,-7149,0.0,a,
Trafford,LEE,GKP,5.0,5.4,16,4.0,324,4,0,0,0.00,0.00,0.00,4.79,0,8046,12050,-4004,0.0,a,
Schade,BRE,MID,6.0,5.3,30,7.5,357,4,3,0,0.98,0.30,1.28,5.49,27,153781,13792,139989,0.0,a,
